,Average User Rating,Number of Votes,Liked by
B00B4O7GIA,3.9215686274509802,51,37
B003ES5ATQ,4.090909090909091,11,8
B007Y8VJP6,3.8285714285714287,35,24
B008M9IS8M,3.4,5,3
B00BJBWYMQ,4.882352941176471,17,17
B00GH0JXAK,4.783333333333333,60,59
B005FVNHBI,3.272727272727273,88,41
B000XQGJUG,3.2,5,3
B006QY6VXE,3.857142857142857,7,5
B007M41GY6,4.666666666666667,6,5
B007UVP3S6,4.5,8,7
B00CODPQ64,4.75,12,11
B003XMDFAO,4.333333333333333,9,7
B00A05M6RU,4.166666666666667,12,10
B001K9HQ4I,4.333333333333333,9,7
B0072KY4K8,3.5555555555555554,18,11
B00CSL9PDW,3.0,6,3
B002DV4JTM,4.444444444444445,9,8
B008S4OJF2,3.4,5,2
B00871Q5S0,3.9,20,13
B00H02KSCQ,4.0,7,5
B0099USPPE,3.25,8,4
B0040IZECC,4.125,8,6
B00AIRLE32,4.625,8,8
B009VJ4VOM,4.388888888888889,18,15
B006FZ1SVO,3.861111111111111,36,26
B003VLY4H0,3.348314606741573,89,41
B005DSMNGI,4.333333333333333,6,6
B008JEBXYQ,4.125,40,31
B004DRXBTI,3.8333333333333335,6,4
B00ENZRQ96,3.9365079365079363,63,47
B00F3580BI,4.09375,32,23
B00JSA37OO,3.2857142857142856,7,3
B005LGUDKK,3.7037037037037037,27,17
B008JODG2S,4.25,16,12
B0088LYCZC,4.092213114754099,488,362
B0096T2CMK,4.0,22,15
B00GTJJU52,3.8333333333333335,6,4
B009NR67K8,3.75,8,4
B00DBEK0TI,4.25,8,7
B00A54QPHI,3.0,5,2
B0042ZVA26,3.3333333333333335,9,4
B0097EDCAA,3.7142857142857144,7,5
B002F9XNBW,4.333333333333333,6,4
B002SP4FVA,3.4,10,5
B00GXHPN1U,4.166666666666667,6,4
B004UH54OQ,3.5,6,3
B00I3UWD7C,4.454545454545454,77,65
B00BYNAT7G,3.2666666666666666,15,7
B00FYNSCGW,4.3,10,8
B005ME7O6W,4.333333333333333,6,5
B007RFRHIY,4.6,5,5
B004WLXB0O,3.8333333333333335,12,8
B00CORGPA6,2.3333333333333335,6,1
B00HR1TZ92,4.746031746031746,63,60
B00DU0E6WK,4.466666666666667,15,13
B00A4L4E9I,4.666666666666667,12,11
B00BVRYB5Q,3.8333333333333335,6,4
B00FEZFJ5W,4.15,20,14
B0094S35QU,4.285714285714286,21,18
B003T4D8D0,4.8,5,5
B00ASVSSDM,4.181818181818182,22,16
B006WU1IT4,3.972972972972973,37,26
B003QP423M,4.4,5,4
B00BC0WNUC,4.222222222222222,18,15
B00511K454,4.1,10,8
B002G7A1EA,4.75,16,15
B002JCSAX6,4.2,5,4
B006KAKZTK,2.5555555555555554,9,2
B0018YSDKG,4.571428571428571,14,12
B004U8UCOM,4.555555555555555,9,8
B004YTRZFQ,3.75,24,14
B0032F6RN4,5.0,8,8
B009AY0R2I,3.45,20,11
B001UO21I4,3.6666666666666665,6,4
B006QYI6LO,4.6,5,4
B009CRH0O6,3.4411764705882355,34,19
B005HYU1YE,4.133333333333334,15,12
B006YNEQDY,4.8,5,5
B004HHJWEW,3.3076923076923075,13,7
B009AN3D2U,4.1875,16,13
B009F260IA,4.176470588235294,17,11
B00DB97OX8,4.571428571428571,7,6
B003WGLB7A,2.1666666666666665,6,1
B004FSKVIE,3.8552631578947367,152,101
B0091DQ8CG,4.555555555555555,9,8
B008DNAN7Q,4.666666666666667,6,5
B009P7W35O,4.4,10,8
B00CBAVX3U,4.083333333333333,12,8
B008ER32W4,4.444444444444445,9,8
B008DO50N2,4.367647058823529,68,56
B005C9G2P6,3.4583333333333335,24,15
B00DV8MKBK,4.222222222222222,9,6
B003P1WAS6,4.181818181818182,11,9
B00ESWBMMG,4.625,8,7
B002ZUN7XU,4.4,5,4
B0081SDM8U,4.5,40,36
B009VOISGY,4.151515151515151,99,74
B008KV87HO,3.7142857142857144,7,5
B0042U9AT6,4.2727272727272725,22,19
B00I8Q490A,4.818181818181818,22,22
B003WITNXC,4.142857142857143,14,11
B003ELOOZO,4.241935483870968,124,100
B00HY3V80C,3.8,5,4
B0057GUFEI,4.217391304347826,23,18
B004J75YLU,2.4,15,3
B00DG2534W,4.428571428571429,42,36
B00AE5BF5K,4.3125,16,14
B001IBMLKM,3.8333333333333335,24,16
B00GOFZ1W2,4.5,8,7
B008ASXF74,4.285714285714286,7,6
B003XNGY2Y,3.7,10,5
B000AZ1LIK,4.4,5,4
B0046D3T5A,4.3,10,9
B009WTMOTA,4.111111111111111,9,7
B008CZO7R2,4.625,8,7
B00B0IA3CQ,3.7777777777777777,9,4
B006CAW1Y0,3.5714285714285716,7,4
B0081V7VOI,3.5714285714285716,7,3
B004EZLL6E,4.636363636363637,11,10
B006N0T674,4.391304347826087,23,20
B008RVJYQ0,4.555555555555555,9,8
B007V6F2VI,2.857142857142857,7,3
B00B42QITK,4.0,5,4
B0052F7ZWY,5.0,7,7
B004M8ST4A,4.3478260869565215,23,19
B003I8Z12I,4.2,30,22
B00AX49VBW,4.25,28,24
B000WBIN88,4.625,8,7
B00AR7ZFRY,4.25,8,7
B00FIFBIIK,4.2727272727272725,11,9
B00931S8CE,4.0,6,4
B004IYVEBI,3.5,14,8
B00B1P60ZW,2.9393939393939394,33,12
B0009SHMUY,4.857142857142857,7,7
B009GX8U7M,4.2,5,4
B00C003ZJQ,3.7,10,7
B00BTT8E5O,4.571428571428571,7,7
B006FX4QRY,3.2,5,2
B00862TYYM,3.625,8,5
