,Average User Rating,Number of Votes,Liked by
6759,3.259259259259259,27,0.3333333333333333
48899,4.0,1,1.0
5362,2.490740740740741,54,0.09259259259259259
8057,3.557142857142857,35,0.4
8989,3.6313559322033897,118,0.5508474576271186
569,2.9306742640075973,1053,0.21462488129154797
5805,0.5,2,0.0
4262,3.945954834466126,4561,0.6840605130453847
1608,3.3222643896268185,7905,0.41568627450980394
3186,3.501023751023751,2442,0.46273546273546273
27644,3.6153846153846154,13,0.38461538461538464
4084,3.0567456700091156,2194,0.24658158614402917
4816,3.2299626544096522,3481,0.35823039356506753
7223,3.830601092896175,183,0.6284153005464481
5739,1.2393617021276595,94,0.06382978723404255
6907,2.9166666666666665,12,0.25
911,4.087505849321479,2137,0.7585400093589144
7390,2.75,14,0.07142857142857142
32149,2.5588235294117645,34,0.058823529411764705
2891,3.3833528722157094,853,0.4642438452520516
5857,1.8,35,0.0
455,2.6489800595920237,4363,0.1531056612422645
60674,3.5869565217391304,46,0.43478260869565216
42418,3.4014084507042255,426,0.43427230046948356
7413,2.090909090909091,11,0.09090909090909091
59727,2.883177570093458,107,0.205607476635514
1014,3.3245,1000,0.431
5258,3.766871165644172,163,0.5828220858895705
6715,2.0357142857142856,14,0.0
55324,1.0,1,0.0
4962,2.557142857142857,70,0.12857142857142856
6559,2.892543859649123,228,0.18859649122807018
1544,2.940903540903541,8190,0.24896214896214897
100,3.2231060606060606,2640,0.32045454545454544
8158,3.5286259541984735,262,0.3931297709923664
46723,3.736351531291611,1502,0.5652463382157124
7758,3.575,20,0.45
6005,3.306709265175719,313,0.4472843450479233
991,3.56800518134715,1544,0.5181347150259067
25865,3.86,75,0.5733333333333334
3000,4.059515151515152,4125,0.7304242424242424
4729,3.5647058823529414,85,0.5647058823529412
5131,3.326923076923077,78,0.4230769230769231
63468,3.0,2,0.0
5187,3.684848484848485,165,0.593939393939394
7154,3.1070057581573898,1042,0.24088291746641075
1882,2.3242407954850846,3721,0.12120397742542327
26614,4.048327137546468,269,0.7620817843866171
30846,3.5,254,0.43700787401574803
2709,3.1141804788213627,1086,0.3674033149171271
1444,3.481707317073171,82,0.4634146341463415
370,2.9600487210718636,8210,0.246163215590743
44058,3.1666666666666665,39,0.1794871794871795
8744,3.176470588235294,17,0.23529411764705882
5879,2.377450980392157,306,0.15359477124183007
2386,1.6053333333333333,375,0.042666666666666665
8700,3.522222222222222,45,0.5777777777777777
2600,3.31636863823934,2908,0.4449793672627235
63828,1.75,2,0.0
45208,2.678756476683938,193,0.14507772020725387
5265,3.2076142131979695,985,0.37055837563451777
2921,3.861814345991561,1422,0.6772151898734177
25826,3.84375,64,0.671875
61246,3.0652173913043477,46,0.21739130434782608
2300,3.9897360703812317,3410,0.7202346041055718
33826,3.5952380952380953,84,0.47619047619047616
59478,2.875,4,0.0
7110,3.272727272727273,11,0.36363636363636365
7181,3.75,40,0.5
4319,3.2625,40,0.325
6908,2.107142857142857,14,0.07142857142857142
5821,3.369047619047619,42,0.5476190476190477
794,3.3857142857142857,70,0.42857142857142855
5726,3.125,48,0.22916666666666666
5979,2.2586206896551726,29,0.13793103448275862
4356,3.710594315245478,774,0.5723514211886305
977,2.3,5,0.0
2434,3.418539325842697,178,0.4943820224719101
44777,2.4375,8,0.125
50003,2.546153846153846,65,0.1076923076923077
1303,4.068260226712666,2029,0.7585017249876786
2526,2.3669250645994833,387,0.10594315245478036
6653,2.8492063492063493,63,0.1746031746031746
58299,3.5211267605633805,213,0.43661971830985913
8465,2.5714285714285716,7,0.14285714285714285
4822,2.4363636363636365,110,0.10909090909090909
6515,3.4791666666666665,24,0.375
4234,2.9923497267759562,915,0.26666666666666666
6160,3.477272727272727,44,0.5227272727272727
8608,3.3625,40,0.45
4817,3.310344827586207,29,0.4482758620689655
34158,3.0,5,0.2
2341,3.2525,200,0.405
2990,3.18684710351377,2106,0.3285849952516619
8977,2.4884353741496597,735,0.1306122448979592
595,3.6718482744742933,19878,0.5485964382734682
7348,3.489429175475687,473,0.39323467230443976
33451,4.076923076923077,26,0.7307692307692307
4917,3.1774193548387095,62,0.3548387096774194
202,2.9141630901287554,233,0.3090128755364807
45186,3.3044,1250,0.348
63688,3.5,1,0.0
59044,2.25,2,0.0
3164,2.4,5,0.4
4827,2.4782608695652173,46,0.10869565217391304
4653,2.9153846153846152,65,0.3230769230769231
1155,2.4285714285714284,7,0.14285714285714285
5695,2.4166666666666665,18,0.1111111111111111
7650,3.3962264150943398,53,0.4528301886792453
7730,3.2777777777777777,63,0.3968253968253968
4422,3.9856687898089174,314,0.7101910828025477
5080,2.772241992882562,281,0.2277580071174377
6408,3.5681818181818183,22,0.5
7300,3.4580152671755724,131,0.366412213740458
5342,2.6666666666666665,27,0.1111111111111111
2832,3.0277777777777777,18,0.16666666666666666
8334,3.561320754716981,106,0.49056603773584906
8139,3.3461538461538463,13,0.3076923076923077
3185,3.3221299093655587,1324,0.4380664652567976
25937,3.6964285714285716,84,0.5833333333333334
4915,2.8421550094517958,529,0.20793950850661624
701,3.3442622950819674,61,0.4426229508196721
58595,3.5,1,0.0
31408,3.625,24,0.5416666666666666
845,3.467391304347826,46,0.43478260869565216
2846,3.1960193003618818,829,0.3751507840772014
8824,3.375,8,0.375
6888,2.462962962962963,1134,0.12962962962962962
4744,2.5485744456177404,947,0.1583949313621964
6480,3.3636363636363638,143,0.35664335664335667
4151,3.5213270142180093,211,0.5308056872037915
2679,2.727272727272727,33,0.30303030303030304
45183,3.4392857142857145,140,0.4357142857142857
1110,2.5,19,0.10526315789473684
6390,3.290909090909091,55,0.41818181818181815
4155,2.853609625668449,748,0.2660427807486631
40629,3.8536585365853657,1189,0.6232127838519764
39444,3.3205607476635515,535,0.3252336448598131
6711,3.837020856820744,7096,0.6312006764374295
4462,2.3566666666666665,150,0.09333333333333334
4495,3.613372093023256,344,0.5494186046511628
4519,3.209726443768997,987,0.3363728470111449
4484,3.6413793103448278,145,0.503448275862069
969,4.125085440874915,5852,0.7751196172248804
2568,2.182252922422954,941,0.09032943676939426
6342,3.314814814814815,27,0.48148148148148145
62916,2.5,3,0.0
3318,3.336206896551724,116,0.4482758620689655
5043,2.5,23,0.043478260869565216
2811,2.7954545454545454,22,0.2727272727272727
231,2.936950310906952,17851,0.2883311859279592
7255,2.8492753623188407,345,0.1826086956521739
1630,2.107142857142857,14,0.07142857142857142
3965,3.668,125,0.632
1855,2.283095723014257,491,0.12830957230142567
47330,3.066666666666667,15,0.26666666666666666
34338,3.2816901408450705,639,0.38341158059467917
60766,3.86875,80,0.675
31903,4.0285714285714285,70,0.7142857142857143
34063,3.409090909090909,22,0.45454545454545453
3348,3.1666666666666665,15,0.3333333333333333
33834,3.2901785714285716,560,0.3125
